ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.181993,0.393536,-0.590775,0.711501,4.151494,0.785175,0.561690,0.106968,-0.820404
0.233845,0.405142,-0.531808,0.784426,3.870414,0.661369,0.595180,0.096719,-0.797751
0.366632,0.464717,-0.367075,0.982776,3.415453,0.577840,0.624640,0.086034,-0.776159
0.342070,0.477204,-0.386182,1.327962,2.819400,0.569214,0.649202,0.073547,-0.757052
0.342595,0.448022,-0.309076,1.779805,2.149692,0.547570,0.668285,0.058158,-0.741629
0.332221,0.346376,-0.254056,2.258010,1.480260,0.493656,0.681985,0.039687,-0.730289
0.290082,0.243883,-0.223478,2.705521,0.786128,0.457245,0.690372,0.018309,-0.723223
0.219407,0.158277,-0.158451,3.112851,0.111370,0.462295,0.693618,-0.005995,-0.720318
0.148212,0.097932,-0.070247,3.478028,-0.515920,0.507867,0.692044,-0.033250,-0.721089
0.071907,0.058206,0.044895,3.809559,-1.092286,0.559470,0.685890,-0.063455,-0.724933
-0.027087,0.009457,0.177566,4.095803,-1.519681,0.593111,0.675768,-0.096356,-0.730789
-0.120074,-0.028017,0.290650,4.302876,-1.740314,0.612796,0.662936,-0.131453,-0.737046
-0.192595,-0.041977,0.399773,4.389648,-1.793406,0.649889,0.648772,-0.167984,-0.742210
-0.235982,-0.056281,0.521210,4.312315,-1.698702,0.747688,0.634282,-0.205072,-0.745407
-0.263539,-0.061729,0.623440,4.028821,-1.475200,0.969345,0.620457,-0.241814,-0.746029
-0.341909,-0.047009,0.703986,3.527371,-1.175787,1.335940,0.607442,-0.277301,-0.744391
-0.454626,-0.037763,0.727845,2.873916,-0.683781,1.793504,0.595785,-0.310687,-0.740617
-0.553292,-0.038599,0.673701,2.197592,-0.040462,2.261324,0.586404,-0.341543,-0.734492
-0.599583,-0.019775,0.693903,1.634838,0.629040,2.660448,0.579717,-0.370011,-0.725962
-0.619390,-0.000798,0.777824,1.199384,1.251216,2.941229,0.575734,-0.396556,-0.715034
-0.643066,0.008659,0.832856,0.802964,1.791414,3.061252,0.574203,-0.421119,-0.702104
-0.669450,-0.004444,0.827173,0.403056,2.266416,2.944490,0.575303,-0.442791,-0.687722
-0.693664,-0.041491,0.801478,-0.004802,2.594214,2.554263,0.579452,-0.460218,-0.672633
-0.692126,-0.064439,0.760841,-0.419827,2.794275,1.919048,0.586962,-0.472014,-0.657783
-0.647952,-0.092051,0.715314,-0.874968,2.807300,1.121685,0.598086,-0.476873,-0.644116
-0.576094,-0.128144,0.688967,-1.342487,2.626856,0.250994,0.612319,-0.473952,-0.632799
-0.516345,-0.135042,0.647435,-1.851928,2.226597,-0.634957,0.628634,-0.462661,-0.625111
-0.436327,-0.114425,0.626344,-2.400509,1.684429,-1.480707,0.645770,-0.442536,-0.622209
-0.339778,-0.071343,0.576922,-2.983608,1.105030,-2.222271,0.662486,-0.413429,-0.624651
-0.240984,-0.013076,0.485525,-3.546462,0.612604,-2.818995,0.677905,-0.375718,-0.631887
-0.132602,0.038426,0.369542,-4.028518,0.212911,-3.234327,0.691318,-0.330464,-0.642552
-0.015740,0.086733,0.266973,-4.369080,-0.132203,-3.430908,0.701836,-0.279527,-0.655202
0.101028,0.152539,0.180496,-4.513717,-0.407108,-3.405572,0.708725,-0.225507,-0.668472
0.198487,0.223436,0.088495,-4.428117,-0.581950,-3.195854,0.711929,-0.171419,-0.681009
0.274305,0.271589,0.004556,-4.137902,-0.578582,-2.856977,0.712282,-0.120039,-0.691552
0.319411,0.300255,-0.081169,-3.706495,-0.362575,-2.421555,0.711473,-0.073631,-0.698846
0.339221,0.337942,-0.163673,-3.225497,0.052248,-1.922561,0.711484,-0.033636,-0.701897
0.352293,0.380765,-0.252053,-2.742236,0.550062,-1.415661,0.713885,-0.000653,-0.700263
0.357904,0.399315,-0.294165,-2.301917,1.043370,-0.964639,0.719336,0.025550,-0.694192
0.354752,0.390443,-0.315427,-1.946586,1.480595,-0.590467,0.727859,0.045867,-0.684191
0.343830,0.356876,-0.344228,-1.670896,1.783062,-0.301808,0.738811,0.061429,-0.671107
0.328691,0.309950,-0.346764,-1.462279,1.904732,-0.069893,0.751082,0.073229,-0.656135
0.308849,0.259861,-0.348174,-1.304979,1.799531,0.107806,0.763264,0.082058,-0.640855
0.299648,0.197607,-0.353327,-1.153981,1.499559,0.201419,0.773991,0.088663,-0.626959
0.295869,0.128140,-0.343850,-0.965831,1.036045,0.195613,0.782150,0.093707,-0.616004
0.282514,0.076419,-0.304254,-0.723300,0.542894,0.107137,0.787142,0.097699,-0.608985
0.259659,0.053059,-0.279243,-0.447595,0.173484,-0.025588,0.789306,0.100948,-0.605645
0.213991,0.034847,-0.287273,-0.166916,-0.062100,-0.154407,0.789549,0.103520,-0.604893
0.169847,0.008473,-0.277690,0.024362,-0.598807,-0.273110,0.787414,0.105647,-0.607304
0.240148,-0.030427,-0.236210,0.165811,-1.015206,-0.313484,0.781870,0.107423,-0.614117
