ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.316434,0.587763,-0.729028,0.240140,-0.125699,0.027487,0.414950,0.428823,-0.802451
0.328305,0.581430,-0.817740,0.626524,-0.141774,0.009740,0.414066,0.425283,-0.804788
0.359207,0.523929,-0.759860,1.093387,-0.388332,-0.061902,0.411926,0.418408,-0.809476
0.371612,0.452204,-0.574767,1.543209,-0.769330,-0.134587,0.406816,0.407995,-0.817338
0.341665,0.366597,-0.369962,1.913361,-1.061512,-0.146164,0.398570,0.394237,-0.828082
0.258982,0.266989,-0.213940,2.164431,-1.202878,-0.036123,0.388631,0.377451,-0.840534
0.141839,0.174609,-0.056265,2.294816,-1.239453,0.170987,0.378379,0.358152,-0.853555
0.026079,0.062245,0.108981,2.344787,-1.074788,0.394149,0.369245,0.337001,-0.866076
-0.066476,-0.059203,0.229625,2.371601,-0.725315,0.599411,0.362924,0.314483,-0.877147
-0.162502,-0.170020,0.361283,2.385598,-0.386017,0.774910,0.360165,0.290869,-0.886384
-0.277747,-0.281180,0.551586,2.375385,-0.205013,0.931656,0.359992,0.266440,-0.894100
-0.381782,-0.397480,0.734821,2.291868,-0.135701,1.029707,0.361045,0.241749,-0.900669
-0.445750,-0.509027,0.848524,2.088962,-0.101200,1.006662,0.362330,0.218042,-0.906187
-0.499987,-0.603580,0.915645,1.769157,0.023193,0.857860,0.363864,0.196933,-0.910396
-0.541741,-0.651375,0.957041,1.374559,0.220954,0.682768,0.366448,0.179665,-0.912927
-0.549824,-0.660067,0.989758,0.924558,0.367454,0.565770,0.370274,0.166766,-0.913831
-0.593698,-0.655287,1.012219,0.415028,0.499383,0.452683,0.375086,0.158659,-0.913312
-0.648697,-0.651236,1.003431,-0.135458,0.679055,0.311572,0.381058,0.155890,-0.911314
-0.667181,-0.596207,0.981190,-0.741250,0.933963,0.209853,0.388800,0.158875,-0.907520
-0.637818,-0.459440,0.913547,-1.381909,1.250255,0.105056,0.398973,0.167891,-0.901462
-0.539825,-0.339803,0.809258,-2.039490,1.586535,-0.077046,0.411834,0.183232,-0.892647
-0.390831,-0.244815,0.727899,-2.699826,1.793404,-0.350860,0.426598,0.205280,-0.880837
-0.257062,-0.134317,0.660953,-3.285255,1.784999,-0.681996,0.441297,0.233865,-0.866351
-0.110653,-0.016227,0.572267,-3.734739,1.595199,-0.993279,0.453838,0.268058,-0.849809
0.049583,0.104995,0.455465,-3.988074,1.246413,-1.192738,0.462747,0.305909,-0.832037
0.156724,0.246853,0.307054,-4.011495,0.870801,-1.225761,0.467467,0.344867,-0.813966
0.215158,0.403886,0.074695,-3.748083,0.660485,-1.089124,0.469306,0.381942,-0.796161
0.260026,0.538176,-0.197453,-3.191348,0.587358,-0.862960,0.470305,0.414202,-0.779262
0.298240,0.584501,-0.367742,-2.412450,0.501500,-0.608557,0.471398,0.439516,-0.764598
0.315732,0.565115,-0.411295,-1.562955,0.365398,-0.329406,0.472598,0.456919,-0.753576
0.321481,0.546910,-0.388751,-0.819647,0.250860,-0.036026,0.474036,0.466685,-0.746656
0.310307,0.527966,-0.369857,-0.304105,0.233017,0.234622,0.476284,0.470294,-0.742952
0.272096,0.474924,-0.381045,-0.013899,0.283647,0.438953,0.479811,0.469748,-0.741025
0.239895,0.378520,-0.387356,0.106678,0.293270,0.573918,0.484409,0.466862,-0.739856
0.211955,0.286046,-0.358397,0.143208,0.231466,0.632933,0.489232,0.462932,-0.739152
0.192180,0.200690,-0.316797,0.172896,0.140379,0.597850,0.493488,0.458704,-0.738959
0.181197,0.123401,-0.275291,0.229081,0.092424,0.491558,0.496843,0.454496,-0.739311
0.180403,0.075357,-0.235876,0.301983,0.058736,0.348691,0.499346,0.450415,-0.740122
0.170025,0.051419,-0.180570,0.336801,-0.035083,0.225493,0.500736,0.446582,-0.741504
0.148076,0.017879,-0.124916,0.314218,-0.136836,0.141394,0.500896,0.443211,-0.743416
0.140945,-0.016525,-0.085200,0.239142,-0.193962,0.094586,0.500153,0.440536,-0.745503
0.135073,-0.038245,-0.049654,0.140164,-0.208954,0.082683,0.498990,0.438682,-0.747373
0.107260,-0.050429,-0.025676,0.044629,-0.185869,0.131867,0.497949,0.437484,-0.748769
0.072335,-0.052966,-0.016652,-0.027816,-0.120983,0.231604,0.497550,0.436542,-0.749583
0.043434,-0.045843,-0.017975,-0.068715,-0.007862,0.350068,0.498329,0.435461,-0.749695
0.031336,-0.035572,-0.006370,-0.085123,0.091010,0.440532,0.500387,0.434056,-0.749139
0.021813,-0.027632,0.023768,-0.090189,0.148175,0.503963,0.503380,0.432326,-0.748133
0.020125,-0.019207,0.047810,-0.093800,0.168118,0.545611,0.506868,0.430340,-0.746922
0.010693,-0.015888,0.053400,-0.083183,0.180023,0.557985,0.510562,0.428181,-0.745646
-0.006874,-0.018496,0.045300,-0.058752,0.203323,0.540488,0.514366,0.425875,-0.744351
