ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.024269,0.003954,-0.109705,-0.310753,-0.195838,0.028327,-0.051353,0.063429,-0.996664
0.019339,-0.011997,-0.117762,-0.383755,-0.233387,0.024553,-0.053442,0.066899,-0.996328
0.008833,-0.015020,-0.143387,-0.472576,-0.319612,0.002557,-0.056166,0.071188,-0.995880
0.006389,-0.018897,-0.185393,-0.552064,-0.415078,0.001091,-0.059825,0.076332,-0.995286
-0.014587,0.002088,-0.257796,-0.638707,-0.605513,-0.025739,-0.064911,0.082278,-0.994493
-0.037026,0.045147,-0.351406,-0.656206,-0.798543,-0.075659,-0.072028,0.088795,-0.993442
-0.058731,0.077941,-0.534030,-0.506339,-0.874224,-0.155728,-0.080581,0.094637,-0.992245
-0.067204,0.094830,-0.785519,-0.114939,-0.774951,-0.248470,-0.089137,0.097721,-0.991214
-0.057460,0.134458,-1.046253,0.529303,-0.513524,-0.311139,-0.095891,0.095553,-0.990795
-0.053153,0.198077,-1.222585,1.324280,-0.201483,-0.304694,-0.099786,0.086042,-0.991282
-0.057442,0.284508,-1.253464,2.085758,0.134429,-0.239464,-0.100303,0.068672,-0.992584
-0.050965,0.334119,-1.151181,2.636730,0.355575,-0.147821,-0.097915,0.044727,-0.994189
-0.048313,0.362651,-0.938714,3.005081,0.585386,-0.044279,-0.093289,0.016332,-0.995505
-0.054942,0.357474,-0.735255,3.251806,0.817543,0.031771,-0.086248,-0.015082,-0.996160
-0.058087,0.315615,-0.487767,3.409831,1.014080,0.063551,-0.077091,-0.048464,-0.995845
-0.071887,0.284239,-0.203441,3.459507,1.057559,0.040970,-0.066647,-0.082884,-0.994328
-0.062642,0.249092,0.134374,3.408491,0.949857,0.020228,-0.056575,-0.117241,-0.991491
-0.046396,0.208073,0.456339,3.214084,0.788500,0.026541,-0.047934,-0.150273,-0.987482
-0.025600,0.148108,0.686088,2.897126,0.734927,0.055873,-0.040547,-0.180609,-0.982719
0.005055,0.088218,0.835649,2.467945,0.758806,0.113118,-0.033375,-0.207084,-0.977754
-0.002179,0.050799,0.962044,2.008487,0.763582,0.143319,-0.026187,-0.228991,-0.973076
-0.011499,0.007799,1.071939,1.598143,0.719755,0.126019,-0.019232,-0.246538,-0.968942
-0.017316,-0.015042,1.154303,1.220489,0.621126,0.109651,-0.012973,-0.260226,-0.965461
-0.011215,-0.008726,1.212396,0.846920,0.463597,0.071737,-0.007934,-0.270235,-0.962762
0.003518,-0.022469,1.251665,0.497667,0.277780,0.012738,-0.004433,-0.276725,-0.960939
