ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.474703,0.545592,0.299480,-0.391732,-1.891456,4.341351,0.852969,0.125260,-0.506710
-0.484976,0.549776,0.304245,-0.369431,-2.166066,4.221014,0.847144,0.090559,-0.523591
-0.474796,0.543264,0.293762,-0.359560,-2.514326,4.046685,0.837726,0.057443,-0.543060
-0.444057,0.501046,0.351309,-0.328458,-3.048435,3.774526,0.823955,0.026603,-0.566031
-0.405076,0.408283,0.455337,-0.281947,-3.655989,3.423050,0.804841,-0.001133,-0.593490
-0.386584,0.325592,0.501300,-0.249299,-4.203021,3.035764,0.780322,-0.025299,-0.624866
-0.379180,0.295560,0.498425,-0.272850,-4.701370,2.638805,0.750503,-0.045499,-0.659299
-0.353091,0.288046,0.490446,-0.347318,-5.032713,2.253137,0.715914,-0.061453,-0.695479
-0.328922,0.280825,0.415099,-0.455228,-4.548080,1.872227,0.679615,-0.073092,-0.729918
-0.320347,0.248724,-0.098321,-0.407518,-1.639660,1.358129,0.653569,-0.080542,-0.752570
-0.248715,0.088880,-1.649505,-0.254553,-0.292145,0.588050,0.647687,-0.084531,-0.757203
-0.142149,-0.086561,-0.839354,-0.208127,-0.845388,-0.057457,0.642912,-0.084384,-0.761278
-0.141148,-0.045555,0.361356,-0.125604,-1.484444,-0.469218,0.634327,-0.081276,-0.768780
-0.057228,-0.027028,0.308334,0.118258,-2.097628,-0.806164,0.620796,-0.077159,-0.780166
0.094599,-0.063113,0.367242,0.453416,-2.439123,-1.053010,0.603383,-0.073621,-0.794046
0.167736,-0.002531,0.208933,0.779736,-2.550133,-1.123495,0.584095,-0.072054,-0.808481
0.147717,0.140267,0.093297,1.033740,-2.846746,-1.041682,0.562915,-0.073250,-0.823262
0.097702,0.239979,0.158729,1.279620,-3.351448,-0.955202,0.537751,-0.077381,-0.839545
0.104427,0.217105,0.205710,1.558576,-3.771035,-0.925492,0.508046,-0.084567,-0.857169
0.119083,0.150682,0.146817,1.806687,-4.074801,-0.972022,0.474682,-0.094606,-0.875058
0.096098,0.101888,0.097944,1.995250,-4.282652,-1.119202,0.438539,-0.106771,-0.892347
0.060329,0.057418,0.074166,2.107876,-4.402245,-1.323475,0.400548,-0.120269,-0.908349
0.033895,0.048656,0.050455,2.128502,-4.413724,-1.529346,0.361720,-0.134350,-0.922556
-0.015807,0.087573,0.013567,2.072780,-4.236375,-1.662451,0.323439,-0.148486,-0.934526
-0.066142,0.136373,-0.055043,1.983998,-3.797856,-1.584627,0.287944,-0.162634,-0.943736
