ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.579456,0.179845,-0.167632,-0.684140,1.571231,4.460107,0.046665,0.984157,0.171050
-0.663886,0.163052,-0.306485,-0.502277,1.565648,4.478778,0.088081,0.980091,0.177945
-0.758983,0.166590,-0.211499,-0.300394,1.521346,4.487290,0.129345,0.974448,0.183636
-0.847774,0.164360,-0.256989,-0.046090,1.407345,4.423613,0.170192,0.967399,0.187546
-0.901394,0.115159,-0.281437,0.195999,1.195257,4.166991,0.209469,0.959319,0.189289
-0.922682,0.060461,-0.254691,0.427417,0.956646,3.667826,0.245191,0.950922,0.188758
-0.924094,0.016502,-0.222363,0.687940,0.745529,2.964623,0.275275,0.943261,0.185696
-0.923641,-0.025503,-0.169432,1.002198,0.598362,2.177074,0.298382,0.937383,0.179670
-0.940936,-0.056539,-0.121574,1.361184,0.502531,1.391105,0.314197,0.933965,0.170265
-0.952950,-0.074534,-0.078732,1.737495,0.404055,0.668590,0.323052,0.933238,0.157177
-0.965047,-0.056300,-0.044796,2.094985,0.343955,0.067553,0.325887,0.934931,0.140362
-0.961056,-0.044425,-0.049243,2.398091,0.368208,-0.455948,0.323559,0.938529,0.120303
-0.925828,-0.065814,-0.061163,2.621404,0.539611,-0.928891,0.316484,0.943530,0.097921
-0.899678,-0.070090,-0.084242,2.735639,0.797794,-1.360950,0.304998,0.949439,0.074446
-0.858504,-0.087079,-0.091066,2.729348,1.019137,-1.812292,0.289244,0.955899,0.050935
-0.795527,-0.124573,-0.040699,2.635062,1.108989,-2.332034,0.268870,0.962769,0.028034
-0.735173,-0.159418,0.035778,2.473639,1.139274,-2.906081,0.243230,0.969950,0.006061
-0.691692,-0.156315,0.070976,2.224900,1.203456,-3.438044,0.212154,0.977132,-0.014320
-0.666855,-0.129433,0.064234,1.973293,1.251640,-3.847684,0.176437,0.983773,-0.032588
-0.629739,-0.086089,0.089703,1.782431,1.303296,-4.147297,0.137231,0.989318,-0.049176
-0.590112,-0.026438,0.092751,1.618741,1.387370,-4.386040,0.095422,0.993342,-0.064553
-0.537097,0.011855,0.055153,1.484362,1.472227,-4.603544,0.051486,0.995545,-0.078987
-0.497902,0.019940,0.035048,1.400248,1.564889,-4.829397,0.005578,0.995655,-0.092955
-0.452228,0.036790,0.027123,1.379691,1.631856,-5.056561,-0.042279,0.993346,-0.107125
-0.386868,0.078807,0.028790,1.400240,1.611663,-5.241675,-0.091770,0.988270,-0.122067
