ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.011731,-0.005337,0.030091,-0.234863,0.061635,0.126711,-0.024890,0.004529,-0.999680
-0.020294,-0.011287,0.050244,-0.344755,0.047289,0.121772,-0.024308,0.007503,-0.999676
-0.020629,-0.024979,0.062147,-0.389006,0.000814,0.094447,-0.024049,0.011261,-0.999647
-0.027485,-0.033200,0.064165,-0.371867,-0.057575,0.047824,-0.024318,0.015134,-0.999590
-0.027947,-0.040658,0.060057,-0.313257,-0.111422,0.005049,-0.025184,0.018594,-0.999510
-0.028405,-0.050822,0.047899,-0.271193,-0.113103,-0.043597,-0.026344,0.021495,-0.999422
-0.026045,-0.054370,0.024766,-0.274207,-0.107321,-0.071689,-0.027452,0.024204,-0.999330
-0.017532,-0.042709,0.024552,-0.307804,-0.131664,-0.080201,-0.028657,0.027100,-0.999222
-0.008638,-0.030563,0.036767,-0.373567,-0.181278,-0.076043,-0.030241,0.030472,-0.999078
0.003046,-0.034494,0.034411,-0.461761,-0.252249,-0.070425,-0.032434,0.034647,-0.998873
0.010730,-0.039573,0.014055,-0.549936,-0.337393,-0.067639,-0.035434,0.039711,-0.998583
0.002361,-0.040824,-0.025216,-0.647333,-0.379328,-0.072158,-0.039089,0.045692,-0.998191
-0.006424,-0.041132,-0.094571,-0.766101,-0.389281,-0.070679,-0.042969,0.052745,-0.997683
-0.015224,-0.048520,-0.173054,-0.897977,-0.436780,-0.099294,-0.047139,0.061063,-0.997020
-0.001762,-0.066758,-0.274234,-0.959102,-0.521964,-0.149152,-0.051979,0.070359,-0.996167
0.020346,-0.075586,-0.403505,-0.932243,-0.703093,-0.181981,-0.058157,0.079767,-0.995116
0.025063,-0.039482,-0.525862,-0.839649,-0.961880,-0.203562,-0.066658,0.088569,-0.993837
-0.002164,0.059685,-0.682465,-0.640214,-1.158583,-0.180836,-0.077502,0.095894,-0.992370
-0.051448,0.160618,-0.874121,-0.302688,-1.222651,-0.155307,-0.089650,0.100551,-0.990885
-0.104581,0.211336,-1.073716,0.225139,-1.027877,-0.180057,-0.101245,0.100920,-0.989730
-0.138769,0.198305,-1.308872,0.950793,-0.544672,-0.222128,-0.109400,0.094954,-0.989452
-0.142085,0.176184,-1.454031,1.766524,-0.007206,-0.275821,-0.112340,0.081156,-0.990350
-0.136444,0.180562,-1.396196,2.494404,0.427655,-0.299659,-0.110367,0.059475,-0.992110
-0.135461,0.228128,-1.193172,2.982930,0.772073,-0.265791,-0.104484,0.031638,-0.994023
-0.135553,0.282154,-0.919439,3.215281,1.068297,-0.192318,-0.095312,0.000256,-0.995447
-0.125462,0.313767,-0.640750,3.272725,1.275928,-0.115446,-0.083446,-0.032455,-0.995984
-0.134461,0.305358,-0.334774,3.254246,1.338736,-0.120771,-0.070220,-0.065246,-0.995395
-0.120444,0.257587,-0.020271,3.238259,1.308439,-0.168667,-0.056833,-0.097782,-0.993584
-0.102291,0.217576,0.235514,3.257402,1.226219,-0.194520,-0.043934,-0.130280,-0.990503
-0.086058,0.212253,0.491712,3.222031,1.037255,-0.211965,-0.032320,-0.162631,-0.986158
-0.055466,0.197622,0.765636,3.048069,0.767733,-0.217240,-0.022995,-0.193807,-0.980770
-0.024841,0.162592,0.992702,2.711112,0.513490,-0.226919,-0.016281,-0.222269,-0.974850
-0.012995,0.119376,1.139375,2.254827,0.385934,-0.242571,-0.011419,-0.246634,-0.969041
-0.013009,0.100061,1.216235,1.721255,0.353075,-0.275949,-0.007209,-0.266000,-0.963946
-0.006984,0.102200,1.269008,1.202788,0.350464,-0.310375,-0.002980,-0.280133,-0.959957
0.013136,0.100715,1.306730,0.774750,0.298612,-0.323397,0.001116,-0.289588,-0.957151
0.040941,0.086582,1.343882,0.470815,0.126620,-0.325674,0.004210,-0.295505,-0.955332
0.058549,0.084483,1.387213,0.228726,-0.192484,-0.333353,0.004927,-0.298838,-0.954291
0.059144,0.114194,1.407719,-0.017704,-0.534301,-0.317639,0.002410,-0.299847,-0.953984
0.058191,0.151066,1.354276,-0.281862,-0.781012,-0.263766,-0.003107,-0.298451,-0.954420
0.058194,0.174052,1.241225,-0.654167,-0.876238,-0.159720,-0.010511,-0.294047,-0.955733
0.061295,0.200799,1.093893,-1.132149,-0.866980,-0.013792,-0.018693,-0.285500,-0.958196
0.057939,0.231367,0.945473,-1.640075,-0.779077,0.144550,-0.026857,-0.272108,-0.961892
0.060334,0.233941,0.786938,-2.142449,-0.592717,0.303772,-0.034180,-0.253670,-0.966687
0.063427,0.221510,0.605604,-2.599013,-0.352217,0.464338,-0.039699,-0.230390,-0.972288
0.071307,0.208479,0.453608,-2.995587,-0.145295,0.593063,-0.043292,-0.202634,-0.978297
0.074262,0.181195,0.316411,-3.221635,-0.045352,0.654307,-0.045301,-0.171536,-0.984136
0.061256,0.160485,0.187264,-3.181568,-0.071441,0.650193,-0.046867,-0.139275,-0.989144
0.027710,0.148801,0.042211,-2.890983,-0.148215,0.588552,-0.048691,-0.108579,-0.992895
0.003309,0.133700,-0.097151,-2.460150,-0.287996,0.474173,-0.051359,-0.081514,-0.995348
