ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.039349,-0.054482,-0.001764,-0.533681,-0.067134,-0.060165,-0.028782,0.180795,-0.983100
-0.037858,-0.058997,-0.002649,-0.384812,-0.196339,-0.120120,-0.030272,0.185309,-0.982214
-0.033271,-0.053281,-0.027004,-0.231826,-0.296283,-0.165111,-0.032998,0.188307,-0.981556
-0.032213,-0.036550,-0.045605,-0.103954,-0.348707,-0.180185,-0.036543,0.189871,-0.981129
-0.024821,-0.021248,-0.061294,-0.042298,-0.336676,-0.167011,-0.040289,0.190468,-0.980866
-0.019048,-0.006091,-0.077265,-0.062881,-0.287605,-0.137374,-0.043681,0.190875,-0.980642
-0.015864,0.008920,-0.079696,-0.129751,-0.210115,-0.106153,-0.046392,0.191749,-0.980347
-0.017393,0.005465,-0.085162,-0.221848,-0.122605,-0.086262,-0.048204,0.193418,-0.979932
-0.020050,-0.006544,-0.085083,-0.324754,-0.056811,-0.093694,-0.049256,0.196059,-0.979354
-0.012640,-0.015965,-0.084370,-0.402847,-0.039758,-0.108751,-0.049891,0.199620,-0.978603
-0.013801,-0.021093,-0.087779,-0.459777,-0.091759,-0.139308,-0.050744,0.203802,-0.977696
-0.013193,-0.012769,-0.086276,-0.520205,-0.213957,-0.168375,-0.052527,0.208524,-0.976606
0.001801,-0.000017,-0.091556,-0.587970,-0.395628,-0.198898,-0.055894,0.213869,-0.975262
0.009961,0.008360,-0.127716,-0.632781,-0.603163,-0.231061,-0.061261,0.219744,-0.973632
-0.003625,0.041658,-0.212868,-0.612909,-0.795810,-0.260648,-0.068701,0.225737,-0.971763
-0.024526,0.078407,-0.327962,-0.514539,-0.941903,-0.281600,-0.077846,0.231088,-0.969814
-0.054450,0.134512,-0.469543,-0.321183,-0.965090,-0.295221,-0.087899,0.234979,-0.968018
-0.079692,0.206077,-0.638337,-0.051348,-0.888743,-0.284275,-0.097646,0.236535,-0.966704
-0.089411,0.260022,-0.766744,0.263193,-0.739910,-0.278113,-0.106268,0.235263,-0.966105
-0.081830,0.282389,-0.891855,0.731929,-0.469765,-0.268363,-0.112888,0.230261,-0.966559
-0.067663,0.298558,-1.033228,1.441203,-0.098410,-0.257455,-0.116282,0.219539,-0.968649
-0.056888,0.312442,-1.159679,2.404534,0.371103,-0.275093,-0.115597,0.200605,-0.972828
-0.047486,0.346045,-1.253798,3.568658,0.830983,-0.223902,-0.110061,0.171045,-0.979097
-0.006766,0.418144,-1.160428,4.662978,1.106837,-0.083162,-0.100701,0.130074,-0.986377
0.044307,0.505760,-0.931901,5.527586,1.356130,0.176847,-0.088359,0.079216,-0.992934
0.055881,0.600073,-0.689971,6.101167,1.522761,0.483809,-0.073719,0.021083,-0.997056
0.018466,0.658366,-0.375708,6.379636,1.556963,0.743419,-0.058292,-0.041285,-0.997446
-0.067241,0.666207,-0.046646,6.417902,1.447948,0.823204,-0.043690,-0.105111,-0.993500
-0.169437,0.574851,0.332705,6.214125,0.976951,0.595189,-0.032376,-0.167868,-0.985278
-0.210315,0.348991,0.783146,5.771664,0.215547,0.102334,-0.027082,-0.226951,-0.973530
-0.157367,0.103523,1.123602,5.107722,-0.597001,-0.441039,-0.028515,-0.280021,-0.959570
-0.063974,-0.049673,1.294939,4.251272,-1.150797,-0.809217,-0.035193,-0.325144,-0.945010
0.001536,-0.068440,1.287685,3.299189,-1.161318,-0.901689,-0.043436,-0.361141,-0.931499
0.035493,0.037802,1.153976,2.324358,-0.711400,-0.786550,-0.049135,-0.387747,-0.920455
0.061373,0.149650,1.062736,1.319051,-0.064174,-0.516418,-0.050128,-0.404898,-0.912987
0.092425,0.203794,1.073149,0.294066,0.521107,-0.176264,-0.046511,-0.412457,-0.909789
0.120136,0.199764,1.160769,-0.657577,0.912131,0.099279,-0.039707,-0.410731,-0.910891
0.133064,0.140729,1.245086,-1.444619,1.119952,0.270283,-0.030998,-0.400922,-0.915588
0.115948,0.071213,1.290764,-2.093481,1.135096,0.328660,-0.021710,-0.384415,-0.922905
0.103463,0.019625,1.277986,-2.620974,1.045644,0.346158,-0.012749,-0.362292,-0.931978
0.079921,0.015260,1.218073,-3.034002,0.804391,0.351518,-0.005153,-0.335542,-0.942011
0.056737,0.027153,1.155255,-3.338606,0.442853,0.332990,-0.000295,-0.305122,-0.952313
0.027101,0.049689,1.047548,-3.578424,0.026555,0.291526,0.001082,-0.271781,-0.962359
-0.013711,0.098068,0.886626,-3.744803,-0.393582,0.227290,-0.001411,-0.236114,-0.971724
-0.039844,0.133017,0.679554,-3.774359,-0.612353,0.143278,-0.006909,-0.199103,-0.979954
-0.050345,0.145289,0.401846,-3.634196,-0.652771,0.074097,-0.013437,-0.162364,-0.986639
-0.071933,0.144648,0.165552,-3.392547,-0.559714,0.025940,-0.019620,-0.127360,-0.991663
-0.077656,0.142392,-0.025816,-3.157354,-0.381164,-0.005904,-0.024349,-0.094678,-0.995210
-0.061476,0.151471,-0.145341,-3.024462,-0.241797,-0.043454,-0.027407,-0.063764,-0.997589
-0.037402,0.164286,-0.212923,-2.917265,-0.175564,-0.084652,-0.029447,-0.033914,-0.998991
