ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.027419,0.016252,0.011671,-0.317279,-0.014640,0.148446,-0.049760,0.058394,-0.997053
-0.032103,-0.017683,0.006274,-0.435273,0.060332,0.080206,-0.049532,0.062285,-0.996829
-0.039200,-0.043662,-0.038759,-0.458455,0.174908,0.042720,-0.048294,0.066825,-0.996595
-0.030714,-0.040400,-0.048064,-0.434765,0.244583,0.044077,-0.046129,0.071345,-0.996384
-0.011580,-0.032542,-0.026992,-0.370561,0.263870,0.071718,-0.043504,0.075435,-0.996201
0.000374,-0.032131,0.004112,-0.267885,0.213220,0.103727,-0.041008,0.078686,-0.996056
0.002002,-0.029715,0.048131,-0.179395,0.114099,0.127832,-0.039249,0.080939,-0.995946
-0.000211,-0.040017,0.093311,-0.177763,-0.020255,0.114960,-0.038669,0.082712,-0.995823
-0.003405,-0.053211,0.130691,-0.271296,-0.143493,0.076451,-0.039426,0.084949,-0.995605
-0.010827,-0.061301,0.139984,-0.428551,-0.238025,0.027657,-0.041312,0.088446,-0.995224
-0.014880,-0.072250,0.133374,-0.642561,-0.270876,-0.019106,-0.043912,0.093765,-0.994626
-0.020944,-0.074788,0.108682,-0.926124,-0.263247,-0.063074,-0.046622,0.101552,-0.993737
-0.021991,-0.077716,0.073582,-1.207238,-0.225577,-0.116657,-0.049207,0.112201,-0.992466
-0.007057,-0.091942,-0.009634,-1.378701,-0.177997,-0.141373,-0.051385,0.125131,-0.990809
0.014592,-0.068081,-0.128446,-1.370370,-0.163706,-0.138696,-0.053243,0.138867,-0.988879
0.041541,-0.036338,-0.234651,-1.217065,-0.308437,-0.103640,-0.055624,0.151695,-0.986861
0.075822,0.000465,-0.299581,-1.063942,-0.662213,-0.045247,-0.060456,0.162942,-0.984782
0.067041,0.124822,-0.395193,-0.885043,-1.045346,0.040787,-0.068933,0.172649,-0.982568
0.032946,0.274257,-0.584193,-0.569760,-1.297210,0.054073,-0.080538,0.179983,-0.980367
-0.014157,0.330846,-0.890413,0.051773,-1.226874,0.004475,-0.093128,0.182811,-0.978727
-0.049531,0.323143,-1.253644,1.059893,-0.808215,-0.036538,-0.103378,0.177529,-0.978671
-0.058708,0.294492,-1.519060,2.249385,-0.173139,-0.062859,-0.108361,0.161196,-0.980955
-0.054922,0.282671,-1.584713,3.336240,0.392231,-0.003896,-0.107202,0.133390,-0.985249
-0.038080,0.331828,-1.382936,4.096500,0.782039,0.160464,-0.101248,0.096318,-0.990188
-0.042005,0.385195,-1.080762,4.526861,1.120904,0.339990,-0.091540,0.053327,-0.994372
-0.087231,0.393440,-0.784163,4.645369,1.378843,0.458005,-0.078845,0.007562,-0.996858
-0.146002,0.356961,-0.429510,4.491675,1.510796,0.461379,-0.064325,-0.038083,-0.997202
-0.158609,0.284583,-0.083740,4.187738,1.479899,0.391875,-0.049521,-0.081366,-0.995453
-0.158278,0.206570,0.190951,3.923948,1.378990,0.291583,-0.035524,-0.121700,-0.991931
-0.145983,0.153449,0.418393,3.734000,1.137810,0.147503,-0.023192,-0.159720,-0.986890
-0.115801,0.123484,0.669795,3.563155,0.702389,-0.025848,-0.014097,-0.195810,-0.980540
-0.075838,0.102959,0.891244,3.380368,0.160780,-0.184231,-0.009612,-0.229958,-0.973153
-0.042595,0.093132,1.051414,3.134470,-0.299231,-0.314267,-0.009773,-0.261772,-0.965080
-0.010214,0.091530,1.113024,2.764527,-0.492989,-0.380859,-0.012827,-0.290397,-0.956820
0.003189,0.097910,1.087348,2.239260,-0.307899,-0.356109,-0.015762,-0.314524,-0.949119
0.016641,0.122370,1.030985,1.558642,0.178134,-0.244941,-0.015497,-0.332728,-0.942896
0.029524,0.149764,1.031355,0.756052,0.655860,-0.077823,-0.010878,-0.343764,-0.938993
0.038204,0.166800,1.145993,-0.107735,0.896555,0.107265,-0.003460,-0.346823,-0.937924
0.033613,0.174662,1.287470,-0.932419,0.875822,0.244560,0.004442,-0.341868,-0.939737
0.020265,0.160296,1.365138,-1.631345,0.630433,0.317969,0.010725,-0.329653,-0.944041
0.001466,0.126818,1.363913,-2.180390,0.258053,0.343937,0.013930,-0.311465,-0.950156
-0.028220,0.108710,1.285030,-2.628072,-0.128031,0.301091,0.013541,-0.288367,-0.957424
-0.051100,0.110433,1.133034,-2.945255,-0.475681,0.202278,0.009917,-0.261373,-0.965187
-0.067812,0.103958,0.942546,-3.105222,-0.765620,0.064018,0.003435,-0.231796,-0.972758
-0.079231,0.077824,0.702934,-3.103495,-0.927857,-0.079377,-0.004921,-0.201237,-0.979530
-0.086228,0.068745,0.455912,-2.982537,-1.004682,-0.202595,-0.014251,-0.171116,-0.985148
-0.088568,0.087215,0.239582,-2.781446,-0.995046,-0.293368,-0.023843,-0.142513,-0.989506
-0.075176,0.097794,0.056656,-2.576408,-0.944215,-0.337138,-0.033100,-0.115921,-0.992707
-0.048845,0.099319,-0.085861,-2.431668,-0.881540,-0.342372,-0.041884,-0.091049,-0.994965
-0.036197,0.122369,-0.200471,-2.321613,-0.776191,-0.303826,-0.049954,-0.067406,-0.996474
