ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.450698,0.252957,-0.592518,5.144277,0.546080,-3.368547,-0.430695,-0.629452,-0.646755
-0.351326,0.270865,-0.351884,5.611662,1.219940,-3.517739,-0.402351,-0.678091,-0.615066
-0.211867,0.309834,-0.084696,5.851476,1.681301,-3.580474,-0.368425,-0.726415,-0.580159
-0.060023,0.393330,0.144579,5.850782,1.844394,-3.544377,-0.331456,-0.772084,-0.542239
0.068868,0.468234,0.406830,5.646452,1.683388,-3.417759,-0.294301,-0.813312,-0.501907
0.177707,0.496076,0.708672,5.209444,1.375636,-3.218418,-0.259097,-0.848920,-0.460656
0.261839,0.493543,0.966778,4.503048,1.130517,-2.950733,-0.226713,-0.878095,-0.421368
0.316312,0.467459,1.178258,3.503868,0.939803,-2.602743,-0.197629,-0.900397,-0.387594
0.343584,0.419167,1.383411,2.250483,0.770723,-2.225038,-0.172365,-0.915795,-0.362781
0.344367,0.362483,1.542992,0.838368,0.635108,-1.874901,-0.150900,-0.924678,-0.349572
0.323259,0.286955,1.604420,-0.576364,0.652772,-1.561675,-0.132692,-0.927565,-0.349309
0.293007,0.214584,1.541310,-1.848640,0.812802,-1.271189,-0.116905,-0.924972,-0.361607
0.241851,0.159947,1.431414,-2.988780,1.114853,-1.000496,-0.102844,-0.917119,-0.385118
0.208721,0.121646,1.258340,-3.990441,1.763648,-0.660960,-0.089382,-0.903781,-0.418557
0.270146,0.174270,0.922311,-4.725506,2.496388,-0.160142,-0.076177,-0.884796,-0.459710
0.319206,0.210643,0.629150,-5.150200,3.022452,0.395552,-0.063743,-0.860652,-0.505188
0.307543,0.143862,0.416600,-5.294233,3.390296,0.910665,-0.052233,-0.832445,-0.551640
0.321820,0.096802,0.207334,-5.281432,3.596010,1.327715,-0.041226,-0.801331,-0.596799
0.335316,0.087742,0.044129,-5.207760,3.581583,1.604662,-0.030461,-0.768178,-0.639512
0.318994,0.080935,-0.024812,-5.172347,3.289057,1.693364,-0.020104,-0.733355,-0.679549
0.287932,0.066862,0.003186,-5.242013,2.839532,1.626494,-0.010558,-0.696561,-0.717420
0.240357,0.056502,0.046024,-5.435627,2.511783,1.509908,-0.001557,-0.657012,-0.753879
0.181102,0.088439,-0.009076,-5.693666,2.485783,1.437294,0.008321,-0.613860,-0.789371
0.134858,0.157960,-0.193090,-5.786326,2.517481,1.420668,0.020202,-0.567338,-0.823237
0.148273,0.238789,-0.350697,-5.516207,2.348883,1.471723,0.032971,-0.519855,-0.853618
