ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.076718,0.067677,0.396080,1.875821,1.505583,0.140020,-0.046818,-0.179249,-0.982689
-0.045078,-0.007419,0.668343,1.654011,1.096784,0.069274,-0.034130,-0.196561,-0.979897
-0.021133,-0.059604,0.844754,1.515917,0.644030,-0.021065,-0.025620,-0.212109,-0.976910
-0.004521,-0.093556,0.943480,1.397456,0.239530,-0.103616,-0.021190,-0.226421,-0.973799
0.006481,-0.106619,0.998328,1.233885,-0.043544,-0.167013,-0.020000,-0.239359,-0.970725
0.013202,-0.104867,1.017652,0.971000,-0.157677,-0.190898,-0.020633,-0.250220,-0.967969
0.015966,-0.093844,1.022439,0.613656,-0.117482,-0.168813,-0.021581,-0.257993,-0.965906
0.036738,-0.097757,1.041445,0.248427,0.017516,-0.101764,-0.021724,-0.262197,-0.964770
0.064907,-0.130127,1.091777,-0.142103,0.038187,-0.001639,-0.021176,-0.262772,-0.964626
0.078295,-0.149610,1.186213,-0.623324,-0.152455,0.106949,-0.021791,-0.259112,-0.965601
0.072656,-0.127315,1.245203,-1.200811,-0.388121,0.214069,-0.024835,-0.250264,-0.967859
0.056021,-0.091494,1.204128,-1.831986,-0.639501,0.290946,-0.030433,-0.235426,-0.971416
0.032942,-0.064256,1.085964,-2.454399,-0.951187,0.329869,-0.038923,-0.214293,-0.975994
-0.007951,0.000600,0.895877,-2.964018,-1.190489,0.329999,-0.050216,-0.187367,-0.981006
-0.052570,0.081634,0.602640,-3.218485,-1.314081,0.261510,-0.063214,-0.156417,-0.985666
-0.081011,0.153518,0.257748,-3.105498,-1.314896,0.136008,-0.076627,-0.124633,-0.989240
-0.114524,0.198584,-0.073243,-2.680851,-1.222911,0.002250,-0.089409,-0.095633,-0.991393
-0.139136,0.216931,-0.336932,-2.175755,-1.023632,-0.108811,-0.100625,-0.071484,-0.992353
-0.122541,0.249414,-0.529155,-1.776247,-0.817856,-0.174400,-0.109698,-0.051996,-0.992604
-0.103685,0.300570,-0.615741,-1.483208,-0.678396,-0.186816,-0.117049,-0.035983,-0.992474
-0.088410,0.319500,-0.653367,-1.232470,-0.531888,-0.152782,-0.123061,-0.022656,-0.992140
-0.065069,0.288648,-0.681073,-1.024480,-0.375297,-0.096535,-0.127558,-0.011578,-0.991764
-0.041109,0.243737,-0.675998,-0.843606,-0.234336,-0.035606,-0.130568,-0.002359,-0.991437
-0.032855,0.200155,-0.642903,-0.676993,-0.124479,0.015652,-0.132337,0.005198,-0.991191
-0.026585,0.145328,-0.586849,-0.531778,-0.013924,0.046497,-0.133037,0.011243,-0.991047
